what,kind,bundleId,bundleVersion,description,time
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123908532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1360123908980
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123909586
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360123910447
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123910646
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123911692
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123912736
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1360123913088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360123913663
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123913804
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123915110
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123916165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360123916412
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123917270
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123918311
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123919366
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123920394
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123921479
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123922540
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123923677
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123924719
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123925755
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123926792
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123927829
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123928867
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123929903
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123931018
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123932053
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123933089
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123934228
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123935272
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123936314
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123937354
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123938391
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123939428
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123940491
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123941540
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123942584
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123943670
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123944776
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123945810
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123946845
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123947883
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123948960
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123949995
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123951043
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123952095
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123953235
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123954286
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123955378
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123956414
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123957450
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123958489
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123959526
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123960561
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123961596
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123962631
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123963750
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124199290
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124200383
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124201426
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124202469
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124203513
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124204554
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124205599
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124206640
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124207683
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124208727
